query,rank,bug_id,title,faiss_distance_score,label,description,relevance
crash when opening location picker,1,453,crash when opening location picker,0.38611912727355957,0,crash when opening location picker. > i get the following crash when selecting the all locations item on top. so do several users.\r with 1.9 i could not repoduce this. sometime it doesn't crash though - no idea yet on why.\r it shows the enter location/my location for about 500ms before crashing.\r any ideas?\r \r java.lang.runtimeexception: android.os.transactiontoolargeexception: data parcel size 927544 bytes\r \tat android.app.activitythread$stopinfo.run activitythread.java:3776 \r \tat android.os.handler.handlecallback handler.java:751 \r \tat android.os.handler.dispatchmessage handler.java:95 \r \tat android.os.looper.loop looper.java:154 \r \tat android.app.activitythread.main activitythread.java:6123 \r \tat java.lang.reflect.method.invoke native method \r \tat com.android.internal.os.zygoteinit$methodandargscaller.run zygoteinit.java:867 \r \tat com.android.internal.os.zygoteini,
crash when opening location picker,2,580,drop down popup not opened,1.0618782043457031,0,drop down popup not opened. description\r drop down popup not opened\r repro steps\r click to selected region\r \r ! snap4 \r \r use this codepen to demonstrate your issue.,
crash when opening location picker,3,321,crash when teleporting \ error: wrong center position\,1.0720641613006592,0,"crash when teleporting \ error: wrong center position\. crash when teleporting \ error: wrong center position\ . this is weird.\r \r it happens with a teleporter and a destination. it also happens with a sensor that teleports the hero to other map using the event on_activated_repeat so this issue is related to teleportation. if i change the position of the teleporter or sensor, the error/crash does not happen, i.e., it depends on the position where the teletransporter/sensor is located so maybe this is produced by the position of the hero .\r \r i will send the data to christopho this is the data of aminemax .\r \r edit: this is a temporary link: i will remove the file when this is fixed.",
crash when opening location picker,4,601,window watcher error,1.1859345436096191,0,window watcher error. see:\r \r \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: 20:35:02 error: luaskin: hs.application.watcher callback error: ...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: attempt to index a nil value local 'window' \r stack traceback:\r \t...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: in function \r \t ...tail calls... \r \t...t.app/contents/resources/extensions/hs/window/filter.lua:930: in method 'setfilter'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:947: in method 'filteremitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1001: in method 'emitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1085: in method 'focused'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1277: in function \r \t ...tail calls... \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: \,
crash when opening location picker,5,468,bugfix; pass new eventfilterparams options properly!,1.2062426805496216,0,bugfix; pass new eventfilterparams options properly!. was causing crash on venue page when certain search terms used.,
filter is broken and does not return links,1,1,filter is broken,0.2637350857257843,0,filter is broken. filter currently doesn't return the current links.,
filter is broken and does not return links,2,966,"broken ui elements, unnecessary links",1.016129493713379,0,"broken ui elements, unnecessary links. missing filter bar/search/pagination if no search results:\r ! bildschirmfoto 2016-11-29 um 14 08 43 \r \r if results are there everything is fine:\r ! bildschirmfoto 2016-11-29 um 14 08 58 \r \r quickedit is possible but makes no sense:\r ! bildschirmfoto 2016-11-29 um 14 09 34 \r \r edit is possible but makes no sense: \r ! bildschirmfoto 2016-11-29 um 14 09 58 \r \r these links should be removed completely:\r ! bildschirmfoto 2016-11-29 um 14 10 16 \r \r what is happening to some of those buttons? these are nested code tags. feature or bug?\r ! bildschirmfoto 2016-11-29 um 14 11 48 \r",
filter is broken and does not return links,3,504,bug - tab links on cmcollections calls wrong sql filter,1.0410070419311523,0,"bug - tab links on cmcollections calls wrong sql filter. the hyperlink should use x=begins, not x=like",
filter is broken and does not return links,4,730,disable sorting filter is no longer working,1.102546215057373,0,disable sorting filter is no longer working. the 2 filters listed here no longer works: \r related:,
filter is broken and does not return links,5,717,regression: some language filters no longer work,1.1314793825149536,0,regression: some language filters no longer work. it appears the fix for issue 24 broke filtering for some languages:\r \r ! image \r,
buttons do not work in listing view,1,638,buttons do not work in listing view,0.48529908061027527,0,"buttons do not work in listing view. all clickable nonlinks in issue view do not work. well, except header button search.\r \r in header:\r clear filters\r \r in search results:\r all\r | >\r >|\r set\r hide closed issues\r \r in bulk update tool:\r bulk update\r reset\r \r click so much if you want, nothing happens. nothing in console.\r \r",
buttons do not work in listing view,2,584,buttons can't be placed correctly,1.0360743999481201,0,"buttons can't be placed correctly. buttons need a major overhaul, they can't be placed where they should be.\r \r 0.10.0",
buttons do not work in listing view,3,24,settings gear button on playlist page is non-functional,1.1684248447418213,0,"settings gear button on playlist page is non-functional. on the page for an individual playlist, the settings icon appears in the header but it is non-functional. \r \r ! settingsclick \r \r it should either be removed or assigned a particular purpose.\r",
buttons do not work in listing view,4,966,"broken ui elements, unnecessary links",1.172422170639038,0,"broken ui elements, unnecessary links. missing filter bar/search/pagination if no search results:\r ! bildschirmfoto 2016-11-29 um 14 08 43 \r \r if results are there everything is fine:\r ! bildschirmfoto 2016-11-29 um 14 08 58 \r \r quickedit is possible but makes no sense:\r ! bildschirmfoto 2016-11-29 um 14 09 34 \r \r edit is possible but makes no sense: \r ! bildschirmfoto 2016-11-29 um 14 09 58 \r \r these links should be removed completely:\r ! bildschirmfoto 2016-11-29 um 14 10 16 \r \r what is happening to some of those buttons? these are nested code tags. feature or bug?\r ! bildschirmfoto 2016-11-29 um 14 11 48 \r",
buttons do not work in listing view,5,195,select all concepts button broken,1.2230045795440674,0,select all concepts button broken. when button is used it selects all concepts but no concept set is created; happening on vocabulary search results screen.,
application freezes and work is lost,1,762,random freezes causing work to be lost,0.6963932514190674,0,"random freezes causing work to be lost. hi, i want to start off with, despite the following bug, i am really enjoying this software, i am looking forward to see where it goes.\r \r now, with the bug.\r every once in a while, doing a random event, such as pressing \ tab\ in the grammar section while i'm typing out a section, opening the \ word quickentry\ tab, or searching for words in the lexicon will cause the application to freeze and for me to lose a lot of progress, depending on what i was doing.\r \r am i doing something wrong or is there a deeper bug behind this?\r \r thank you, quidaaya.",
application freezes and work is lost,2,464,character loses focus,1.0529851913452148,0,"character loses focus. while queuing up jobs, the character will pathfind over to the latest queue job, instead of staying still and working on its current job.",
application freezes and work is lost,3,79,"5.3-713-g6cdbba2, newlocallab, linux64  crashes",1.1657823324203491,0,"5.3-713-g6cdbba2, newlocallab, linux64 crashes. hello,\r \r i encounter crashes, specially when clicking on add to queue. it seems random.\r \r version: 5.3-713-g6cdbba2\r branch: newlocallab\r commit: 6cdbba2\r commit date: 2018-01-21\r compiler: cc 5.3.1\r processor: x86_64\r system: linux ubuntu 16.04 , 8gb ram, video intel\r bit depth: 64 bits\r gtkmm: v3.18.0\r lensfun: v0.2.8.0\r build type: debug\r build flags: -std=c++11 -wno-deprecated-declarations -wno-unused-result -std=c++11 -march=native -werror=unused-label -fopenmp -werror=unknown-pragmas -wall -wno-unused-result -wno-deprecated-declarations -g\r link flags: -march=native\r openmp support: on\r mmap support: on\r \r rt53_btfull.txt \r",
application freezes and work is lost,4,161,"visual studio 2015 always crashes when finishing a hotfix,feature,release",1.186302661895752,0,"visual studio 2015 always crashes when finishing a hotfix,feature,release. i have vs 2015. the features/hotfixes/release branches do get merged correctly but for some reason visual studio always crashes. this happens for everyone in my 5 man team ;",
application freezes and work is lost,5,453,crash when opening location picker,1.1867319345474243,0,crash when opening location picker. > i get the following crash when selecting the all locations item on top. so do several users.\r with 1.9 i could not repoduce this. sometime it doesn't crash though - no idea yet on why.\r it shows the enter location/my location for about 500ms before crashing.\r any ideas?\r \r java.lang.runtimeexception: android.os.transactiontoolargeexception: data parcel size 927544 bytes\r \tat android.app.activitythread$stopinfo.run activitythread.java:3776 \r \tat android.os.handler.handlecallback handler.java:751 \r \tat android.os.handler.dispatchmessage handler.java:95 \r \tat android.os.looper.loop looper.java:154 \r \tat android.app.activitythread.main activitythread.java:6123 \r \tat java.lang.reflect.method.invoke native method \r \tat com.android.internal.os.zygoteinit$methodandargscaller.run zygoteinit.java:867 \r \tat com.android.internal.os.zygoteini,
login fails with password sync disabled,1,723,can't login with password sync disabled,0.7444778680801392,0,"can't login with password sync disabled. very very new to laravel, so apologies if this is something simple.i'm working with the intro tutorial for now, and i configured everything for ldap authentication, using the instructions for laravel 5.2. when attempting to login, i could see my server being queried, and ldap users being inserted into the database, but i kept getting redirected back to the login page. when i changed password sync to true, it started working just fine.",
login fails with password sync disabled,2,684,passwords are been regenerated every time any server field has changed,1.0440632104873657,0,passwords are been regenerated every time any server field has changed. i believe this bug appeared after i implmented the settings window.,
login fails with password sync disabled,3,568,reset password is broken,1.1575435400009155,0,"reset password is broken. a user reports, and i have confirmed, that the forgot password flow is broken. here's what happens: \r \r 1 click \ forgot password\ link on page\r 2 be taken to \r 3 enter email address, get \ verification email sent\ confirmation page \r 4 receive \ change password request\ email with link and token such as \r 4 click link with token\r 5 be taken to \ reset password\ page with token at e.g., so far so good, apparently \r 6 enter new password information and click \ reset password\ here's where it breaks down \r 7 be taken to \ new user registration\ page at instead of to a confirmation page. badness \r \r note that i also tested whether the reset password page will validate the password with \ retype to confirm,\ and it doesn't -- it still just takes you to the new user registration page. confirmed in both firefox and chrome. seems to me like the token is crap",
login fails with password sync disabled,4,980,error on reset password,1.165670394897461,0,error on reset password. there occurs an error at the pool1userdao .,
login fails with password sync disabled,5,558,error when logging in with github when email is not available,1.2283474206924438,0,"error when logging in with github when email is not available. when trying to log in with a github account that does not have an email address, creating of the thirdpartyauthenticationdata fails because the email is null .\r \r argument 3 passed to app\\service\\authentication\\thirdpartyauthenticationdata::new must be of the type string, null given, called in /data/home/phphants/phph-site/src/app/service/github/githubauthentication.php on line 73",
error occurs when clicking save button,1,50,identify and correct the error when you click on the save button  book creation,0.8999286890029907,0,"identify and correct the error when you click on the save button book creation. 2017-11-01 15:32:52.883 debug 842 --- 0.1-8080-exec-6 o.s.w.f.commonsrequestloggingfilter : before request uri=/api/books/;client=127.0.0.1;session=8cf7c08b7d9ce11c99e564fe839e52f7;user=admin \r 2017-11-01 15:32:52.884 debug 842 --- 0.1-8080-exec-6 com.jaxio.demo.aop.loggingaspect : enter: com.jaxio.demo.rest.controller.bookcontroller.create with argument s = book{id=null, title=toto, description=toto, publicationdate=sat jan 01 00:00:00 cet 1972, price=45, barcode=barcode{id=1, code=123456789, image=null}, author=author{id=17, name=appolinaire, birthdate=wed nov 01 00:00:00 cet 2017}} \r 2017-11-01 15:32:52.884 debug 842 --- 0.1-8080-exec-6 c.j.demo.rest.controller.bookcontroller : create book : book{id=null, title=toto, description=toto, publicationdate=sat jan 01 00:00:00 cet 1972, price=45, barcode=barcod",
error occurs when clicking save button,2,427,message after completing edit ends with text 'undefined',0.9346908330917358,0,"message after completing edit ends with text 'undefined'. version\r 5.1.5\r \r browser info\r chrome 67\r \r url\r flamingo4.b3p.nl\r \r where and/or what\r after saving edit window\r \r what happened\r windows says all went well, but text ends with 'undefined'\r \r screenshots\r ! image \r \r \r what did you expect?\r undefined should not be there.\r \r reproduce\r \r 1. edit feature\r 2. press save\r 3. \r 4. \r \r \r",
error occurs when clicking save button,3,688,if there is a space as fist sign for \ profiles elsewhere\  you can't save the entry,0.9673327207565308,0,if there is a space as fist sign for \ profiles elsewhere\ you can't save the entry. ... and there is no error message. please add such a message.,
error occurs when clicking save button,4,860,getting exception when clicking on column locale.,1.1270661354064941,0,getting exception when clicking on column locale.. framework version: 0.1.1\r ! screenshot 9 \r ! screenshot 8 \r,
error occurs when clicking save button,5,902,pending changes window exception,1.1683294773101807,0,"pending changes window exception. i have a problem on pending changes window show. the window doesn't open properly:\r \r an exception was encountered while constructing the content of this frame. this information is also logged in \ c:\\users\\user\\appdata\\roaming\\microsoft\\visualstudio\\15.0_8bf70cf1\\activitylog.xml\ .\r \r exception details:\r \r system.argumentoutofrangeexception: startindex cannot be larger than length of string.\r parameter name: startindex\r at system.string.substring int32 startindex, int32 length \r at samirboulema.tsvn.tsvntoolwindowcontrol.processchange tsvntreeviewfolderitem root, string solutiondir, string change \r at samirboulema.tsvn.tsvntoolwindowcontrol.update list 1 pendingchanges, string solutiondir \r at samirboulema.tsvn.tsvntoolwindowcontrol.hideunversionedbutton_onchecked object sender, routedeventargs e \r at system.windows.routedeventhandle",
app details do not load on iOS,1,961,29949594: app details do not load,0.4352323114871979,0,"29949594: app details do not load. description summary:\r when browsing to an app on the app store on ios, the information normally provided on the \ details\ tab does not load. after about a minute, an icon appears with a button to \ retry\ .\r \r steps to reproduce:\r 1. search for \ call smart\ on the app store.\r 2. find \ contractor's call smart\ in the results and tap on it.\r \r \r expected results:\r the app details load.\r \r actual results:\r after about a minute, i get the attached screenshot.\r \r version:\r ios 10.2 14c92 \r \r notes:\r \r \r configuration:\r ipad air 128gb\r \r attachments:\r 'img_0099.png' was successfully uploaded. - product version: ios 10.2 14c92 created: 2017-01-10t17:48:58.134700 originated: 2017-01-10t11:47:00 open radar link:",
app details do not load on iOS,2,422,verify the ocs id,1.0977295637130737,0,"verify the ocs id. the current entry of the ocsid is 166042 in all branches: l10 l10 l11 however that app is only for oc 7: oc 8.0 and later ? should use 168710 : this causes problems, when people try to enable the app from the recommended section rather then the disabled section: manually changing the ocsid resolves the issue.",
app details do not load on iOS,3,712,uiinfocheck   doesn't show all errors,1.208294153213501,0,"uiinfocheck doesn't show all errors. in case an element is missing within element, uiinfocheck doesn't show all error messages.",
app details do not load on iOS,4,104,"general: in a small resolution, display the page description below the page featured image.",1.2427711486816406,0,"general: in a small resolution, display the page description below the page featured image.. affected devices: itouch5 and e7 \r ! image \r",
app details do not load on iOS,5,951,uialertview causes nsinvalidargumentexception  incompatible signatures,1.306234359741211,0,"uialertview causes nsinvalidargumentexception incompatible signatures. i'm experiencing an intermittent bug when showing uialertview's through blockskit's shortcut bk_showalertviewwithtitle:... . the crash:\r \r terminating app due to uncaught exception 'nsinvalidargumentexception', reason: 'attempted to create block invocation with incompatible signatures'\r \r if you comment out the lines 177-179 in a2blockinvocation.m, then everything works fine. it seems to be more prevalent in older generation phones iphone 4/4s, iphone 5... . could this have something to do with how issignature:compatiblewithsignature: works on 32 bit devices vs 64 bit devices?\r \r as for whether or not the block signatures are actually incorrect... i've triple checked every single one and they're correct.",
parsing failed when copying from iCloud notes,1,774,parsing failed when directly coping from icloud notes,0.4203561544418335,0,"parsing failed when directly coping from icloud notes. describe the bug \r if you didn't know when copying a line form notes icloud.com the formatting is a little weird.\r \r so if there's any way to remove the formatting before trying to save the blobs, that would be great!\r \r screenshots \r \r desktop please complete the following information : \r - os: win 10 \r - app version v2.2\r \r crash log \r \r version: 9ce5e00fdeaba8d7e763a028d32b11937839d2f9 - 268\r error tssc manually specified ecid=1e6cc438f8e02e?, but parsing failed\r \r version: 9ce5e00fdeaba8d7e763a028d32b11937839d2f9 - 268\r error tssc manually specified ecid=1e6cc438f8e02e?, but parsing failed\r",
parsing failed when copying from iCloud notes,2,709,information window: comments with special characters fail to display,1.1980900764465332,0,"information window: comments with special characters fail to display. steps\r find file with ampersand in the comments esp common in soundcloud browser \r right-click, click _information_.\r \r expected\r the comments are visible\r \r actual\r comments not visible, instead gtk+ warnings like\r \r quodlibet:22163 : gtk-warning : failed to set text ' part 2 of 2....' from markup due to error parsing markup: error on line 1: entity did not end with a semicolon; most likely you used an ampersand character without intending to start an entity - escape ampersand as &amp;\r",
parsing failed when copying from iCloud notes,3,594,bug  copying an item doesn't work,1.2097103595733643,0,"bug copying an item doesn't work. when you open the copied item, \ file not found\ is displayed.\r i have found the reason:\r \r ! copy do not work \r",
parsing failed when copying from iCloud notes,4,924,account.note not supported by boost,1.2397503852844238,0,"account.note not supported by boost. due to the optional nature of the 'note' field on the account object, it is not supported by boost. attempting to access an account note raises this exception:\r \r no python class registered for c++ class boost::optional",
parsing failed when copying from iCloud notes,5,434,source documents with blank sentences cause exception,1.271535873413086,0,source documents with blank sentences cause exception. source documents which contain blank sentence units cause an exception during import:\r \r \r caused by: java.lang.stringindexoutofboundsexception: string index out of range: -1\r \tat java.lang.string.substring string.java:1967 ~ ?:1.8.0_121 \r \tat de.tudarmstadt.ukp.dkpro.core.tokit.breakiteratorsegmenter.process breakiteratorsegmenter.java:63 ~ de.tudarmstadt.ukp.dkpro.core.tokit-asl-1.7.0.jar:? \r \tat de.tudarmstadt.ukp.dkpro.core.api.segmentation.segmenterbase.process segmenterbase.java:119 ~ de.tudarmstadt.ukp.dkpro.core.api.segmentation-asl-1.7.0.jar:? \r \tat org.apache.uima.analysis_component.jcasannotator_implbase.process jcasannotator_implbase.java:48 ~ uimaj-core-2.10.0.jar:2.10.0 \r \r \r related dkpro core issue:,
